EDP;DIRECCION;CADENA
545;RIO CLARO #198,  CABRERO;507
552;BARROS ARANA  #857, CONCEPCION;507
553;JORGE ALESSANDRI #3177,  CONCEPCION;507
554;Autopista Concepcion - Talcahuano #8950, Concepcion Talcahuano Bio Bio;507
555;BARROS  ARANA #1068,  CONCEPCION;507
556;COLON #306,  TALCAHUANO;507
558;Avenida los Carrera Poniente #301, Concepcion;507
559;AVENIDA CARLOS PRAT #0901,  CORONEL;507
571;QUECHEREGUAS #1941,  MOLINA;507
572;ARTURO  PRAT   #494,  CURICO;507
573;CASANOVA   #157,  SANTA  CRUZ;507
574;MAIPON   #850,  CHILLAN;507
575;FREIRE   #640,  CONSTITUCION;507
576;ARTURO  PRAT #2362,  SAN JAVIER;507
577;CALLE  UNO  SUR   #1631,  TALCA;507
578;BALMACEDA #481,  CAUQUENES;507
579;CALLE UNO  SUR #1468,  TALCA;507
581;FREIRE   #639, CONCEPCION;507
583;ANIBAL PINTO   #618, CONCEPCION;507
584;SERRANO #590,  SAN CARLOS;507
587;PEDRO AGUIRRE CERDA #689, LOTA;507
605;LAUTARO #146, ANGOL;507
607;VALDIVIA  #440,  LOS ANGELES;507
611;AVDA ALEMANIA   #0672,  TEMUCO;507
613;BULNES   #428,   TEMUCO;507
614;MANUEL MONTT #998, TEMUCO;507
615;FRESIA #295, PUCON;507
616;CALLE LAS QUILAS #1605,   TEMUCO;507
617;RAMON PICARTE #399, VALDIVIA;507
619;ARAUCO #561,  VALDIVIA;507
626;RAMIREZ #1099, OSORNO;507
627;RAMIREZ   #960, OSORNO;507
635;ANTONIO VARAS #690,  PUERTO MONTT;507
636;ILLAPEL #10,   PUERTO MONTT;507
637;URMENETA  #580,   PUERTO MONTT;507
640;SAN MARTIN #593,  CASTRO;507
642;PRAT #347,  COYHAIQUE;507
643;EDUARDO FREI  MONTALVA #01110,  PUNTA ARENAS;507
644;BORIES #877,  PUNTA ARENAS;507
645;SARGENTO ALDEA  #1200, PUERTO AYSEN;507
646;AV JUAN SOLER MANFREDINI #31, PUERTO MONTT;507
670;PISAGUA   #1266, VICTORIA;507
671;MANUAL MONTT #999, TEMUCO;507
672;ALMAGRO #412, LOS ANGELES;507
673;488, Esmeralda  La UniOn  RegiOn de los RIos;507
676;SAN JOSE #332,  PUERTO VARAS;507
677;CAMILO HENRIQUEZ #501,  VILLARRICA;507
678;MAIPU #295,  VALDIVIA;507
684;PUDETO #251,  ANCUD;507
685;MANUEL RODRIGUEZ #1036,  TEMUCO;507
687;URMENETA #477,  PUERTO MONTT;507
688;BORIES #660,  PUNTA ARENAS;507
690;AVBERNARDO OHIGGINS #200,  TALAGANTE;507
691;AV NUEVA EINSTEIN #290,  RANCAGUA;507
695;VICUÑA MACKENNA #7110,  LA FLORIDA;507
