Id;Address;Latitude;Longitude
1138;AV. ANDRES BELLO #2465, PROVIDENCIA;;
975;BUBBLEGUMMERS MALL COSTANERA CENTER, SANTIAGO;;
2238;WB MALL COSTANERA CENTER;;
1130;AV CAMILO HENRIQUEZ #3296, PUENTE ALTO;;
943;AV. CONCHA Y TORO #1149, PUENTE ALTO;;
1591;AV. CONCHA Y TORO #175, PUENTE ALTO;;
939;MALL PLAZA TOBALABA;;
973;Puente alto calle;;
1597;AVDA BERNARDO O`HIGGINS #581, QUILICURA;;
980;Mall Arauco Qulicura;;
945;MALL EASTON QUILICURA;;
4012;PRESIDENTE EDUARDO FREI MONTALVA 9709,QUILICURA, SANTIAGO;;
1159;AV. PORTALES 674, SAN BENARDO;;
1594;EYZAGUIRRE #702,  SAN BERNARDO;;
946;MALL PASEO SAN BERNARDO;;
2230;MALL PASEO SAN BERNARDO;;
933;MALL PLAZA SUR;;
2234;AVDA. JOSE MIGUEL CARRERA # 6150, SAN MIGUEL;;
8034;AVDA. JOSE MIGUEL CARRERA # 6150, SAN MIGUEL;;
949;GRAN AVENIDA #6150, SAN MIGUEL;;
1128;21 DE MAYO #698, SANTIAGO;;
1141;AGUSTINAS #1025, SANTIAGO;;
1503;AHUMADA #390, SANTIAGO;;
1501;ALAMEDA #757, SANTIAGO;;
1115;AV. LIBERTADOR BERNARDO O'HIGGINS #3470, SANTIAGO;;
942;MALL BARRIO INDEPENDENCIA;;
2233;MALL BARRIO INDEPENDENCIA;;
981;MALL PLAZA EGAÑA SANTIAGO;;
991;MALL VIVO IMPERIO;;
944;MALL VIVOCENTRO SANTIAGO;;
1507;PUENTE #640, SANTIAGO;;
1508;PUENTE #696, SANTIAGO;;
1593;SALVADOR SANFUENTES #2968, SANTIAGO;;
921;AV. BERNARDO O'HIGGINS #1068, TALAGANTE;;
4011;ANFIÓN MUÑOZ #$360, VALDIVIA;;
1157;MALL PLAZA DE LOS RIOS;;
964;MALL PLAZA LOS RIOS;;
985;MALL TABOADA - VALDIVIA;;
2263;MALL TABOADA VALDIVIA;;
910;21 DE MAYO #435, ARICA, CHILE;;
909;MALL PLAZA ARICA;;
2201;MALL PLAZA ARICA;;
1147;5 DE ABRIL #699, CHILLAN;;
956;AV. COLLIN #698, CHILLAN;;
953;MALL ARAUCO EL ROBLE CHILLAN;;
1563;ISABEL RIQUELME #709, CHILLÁN;;
