Id;Address;Latitude;Longitude
917;CALLE TERESA WILMS MONT # 2263, IQUIQUE;;
923;AVENIDA RAMON FREIRE #2414, EL BELLOTO;;
925;ALMIRANTE LATORRE #51, VILLA ALEMANA ;;
927;AV. LIBERTAD #1348, MALL MARINA ARAUCO, VIÑA DEL MAR;;
931;AV. 11 DE SEPTIEMBRE # 2249, PROVIDENCIA;;
944;Paseo Puente 689, Santiago, Región Metropolitana;;
965;AV. EDUARDO FREI MONTALVA #01110,  PUNTA ARENAS;;
974;OCHO ORIENTE #1472, TALCA;;
975;Av. Andrés Bello 2425, Providencia, Región Metropolitana;;
976;Av. los Carrera, Poniente 301, Concepción, Bío Bío;;
980;Av. Bernardo O'Higgins 581, Quilicura, Región Metropolitana;;
985;Camilo Henríquez 466, Valdivia, Los Ríos;;
988;Av. Américo Vespucio 33, La Cisterna, Región Metropolitana;;
1106;Maipú 109, Copiapó, Atacama;;
1135;Av Presidente Kennedy 5413, Las Condes, Región Metropolitana;;
1136;Av. Vicuña Mackenna Ote. 6100, La Florida, Región Metropolitana;;
1143;AV. KENNEDY #9001, LAS CONDES;;
1154;Av. Alemania 671, Temuco, Araucanía;;
1157;Arauco 561, Valdivia, Los Ríos;;
1158;Av. Pdte. Eduardo Frei Montalva, Punta Arenas, Magallanes y la Antártica Chilena;;
1159;Av. Portales 674-676, San Bernardo, Región Metropolitana;;
1503;Paseo Ahumada 390, SANTIAGO;;
1561;Almte. Juan José Latorre 2661 #2661, ANTOFAGASTA;;
1565;Calle 1 Sur 1620,TALCA;;
1578;Juan Soler Manfredini #31, PUERTO MONTT;;
2222;J. J. Pérez 12010, La Calera, Calera, Valparaíso;;
2234;Gran Avenida Jose Miguel Carrera #6150, SAN MIGUEL;;
2237;Av. Américo Vespucio 3300, Penalolen, Peñalolén, Región Metropolitana;;
2238;Av. Andrés Bello 2425, Providencia, Región Metropolitana;;
2250;Av. Pdte. Jorge Alessandri Rodriguez 3177, Talcahuano, Bío Bío;;
2263;Camilo Henríquez 466, Valdivia, Los Ríos;;
4012;Av. Pdte. Eduardo Frei Montalva 9709, Quilicura Santiago;;
4013;Ruta 5 Norte, Esquina, Regimiento Arica, La Serena, Coquimbo;;
8034;Gran Avenida Jose Miguel Carrera #6150, SAN MIGUEL;;
